8012  R  d8
8013  R  18
8013  R  18
8014  R  58
8014  R  58
8015  R  b8
8015  R  b8
8016  R  a2
8016  R  a2
8017  R  ff
8018  R  9a
8019  R  a9
8019  R  a9
801a  R  ff
801b  R  48
801c  R  a9
01ff  W  ff
801c  R  a9
801d  R  00
801e  R  08
801f  R  28
01fe  W  32
801f  R  28
8020  R  68
01fd  R  ea
01fe  R  32
8020  R  68
8021  R  08
01fe  R  32
01ff  R  ff
8021  R  08
8022  R  28
01ff  W  b0
8022  R  28
8023  R  a2
01fe  R  32
01ff  R  b0
8023  R  a2
8024  R  ff
8025  R  da
8026  R  a2
01ff  W  ff
8026  R  a2
8027  R  00
8028  R  08
8029  R  28
01fe  W  32
8029  R  28
802a  R  fa
01fd  R  ea
01fe  R  32
802a  R  fa
802b  R  08
01fe  R  32
01ff  R  ff
802b  R  08
802c  R  28
01ff  W  b0
802c  R  28
802d  R  a0
01fe  R  32
01ff  R  b0
802d  R  a0
802e  R  ff
802f  R  5a
8030  R  a0
01ff  W  ff
8030  R  a0
8031  R  00
8032  R  08
8033  R  28
01fe  W  32
8033  R  28
8034  R  7a
01fd  R  ea
01fe  R  32
8034  R  7a
8035  R  08
01fe  R  32
01ff  R  ff
8035  R  08
8036  R  28
01ff  W  b0
8036  R  28
8037  R  a2
01fe  R  32
01ff  R  b0
8037  R  a2
8038  R  ff
8039  R  9a
803a  R  a2
803a  R  a2
803b  R  00
803c  R  ba
803d  R  08
803d  R  08
803e  R  28
01ff  W  b0
803e  R  28
803f  R  a2
01fe  R  32
01ff  R  b0
803f  R  a2
8040  R  00
8041  R  9a
8042  R  a2
8042  R  a2
8043  R  ff
8044  R  ba
8045  R  08
8045  R  08
8046  R  28
0100  W  32
8046  R  28
8047  R  85
01ff  R  b0
0100  R  32
8047  R  85
8048  R  20
0020  W  ff
