8014  R  d8
8015  R  18
8015  R  18
8016  R  58
8016  R  58
8017  R  b8
8017  R  b8
8018  R  a2
8018  R  a2
8019  R  ff
801a  R  9a
801b  R  a9
801b  R  a9
801c  R  00
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01ff  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  01
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01fe  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  02
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01fd  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  03
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01fc  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  04
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01fb  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  05
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01fa  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  06
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01f9  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  07
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01f8  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  08
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01f7  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  09
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01f6  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  0a
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01f5  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  0b
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01f4  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  0c
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01f3  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  0d
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01f2  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  0e
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01f1  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  0f
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01f0  W  30
801f  R  8d
