8000  R  d8
8001  R  18
8001  R  18
8002  R  58
8002  R  58
8003  R  b8
8003  R  b8
8004  R  a2
8004  R  a2
8005  R  ff
8006  R  9a
8007  R  a0
8007  R  a0
8008  R  00
8009  R  a9
800a  R  00
800b  R  a2
800c  R  00
800d  R  95
800e  R  00
800e  R  00
0000  W  00
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0001  W  01
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0002  W  02
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0003  W  03
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0004  W  04
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0005  W  05
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0006  W  06
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0007  W  07
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0008  W  08
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0009  W  09
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
000a  W  0a
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
000b  W  0b
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
000c  W  0c
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
000d  W  0d
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
000e  W  0e
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
000f  W  0f
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0010  W  10
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0011  W  11
800f  R  e8
8010  R  1a
